timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T12:02:50.6239099+05:00,,0,0,0,13,12,237,4,361944
2025-12-29T12:03:00.7026724+05:00,,0,0,0,13,15,252,4,364438
2025-12-29T12:03:10.7943791+05:00,,0,0,0,13,15,267,4,366929
2025-12-29T12:03:20.8769467+05:00,,0,0,0,13,15,282,4,369410
2025-12-29T12:03:30.9688413+05:00,,0,0,0,13,15,297,4,371903
2025-12-29T12:03:41.0451967+05:00,,0,0,0,13,15,312,4,374396
2025-12-29T12:03:51.1273315+05:00,,0,0,0,13,12,324,4,376389
2025-12-29T12:04:01.1915511+05:00,,0,0,0,13,3,327,4,376888
2025-12-29T12:04:11.2773663+05:00,,0,0,0,13,0,327,4,376888
2025-12-29T12:04:21.3520024+05:00,,0,0,0,13,12,339,4,378885
2025-12-29T12:04:31.4346351+05:00,,0,0,0,13,15,354,4,381378
2025-12-29T12:04:41.5437710+05:00,,0,0,0,13,15,369,4,383866
2025-12-29T12:04:51.6252824+05:00,,0,0,0,13,15,384,4,386358
2025-12-29T12:05:01.7090034+05:00,,0,0,0,13,12,396,4,388345
2025-12-29T12:05:11.7900642+05:00,,0,0,0,13,15,411,4,390835
2025-12-29T12:05:21.8751017+05:00,,0,0,0,13,15,426,4,393331
2025-12-29T12:05:31.9728891+05:00,,0,0,0,13,15,441,4,395819
2025-12-29T12:05:42.0751588+05:00,,0,0,0,13,15,456,4,398316
2025-12-29T12:05:52.1642041+05:00,,0,0,0,13,12,468,4,400313
2025-12-29T12:06:02.2442950+05:00,,0,0,0,13,15,483,4,402810
2025-12-29T12:06:12.3414840+05:00,,0,0,0,13,15,498,4,405290
2025-12-29T12:06:22.4254599+05:00,,0,0,0,13,15,513,4,407778
2025-12-29T12:06:32.4996604+05:00,,0,0,0,13,15,528,4,410269
2025-12-29T12:06:42.5946644+05:00,,0,0,0,13,15,543,4,412756
2025-12-29T12:06:52.6829104+05:00,,0,0,0,13,12,555,4,414743
2025-12-29T12:07:02.7646054+05:00,,0,0,0,13,15,570,4,417240
2025-12-29T12:07:12.8453498+05:00,,0,0,0,13,15,585,4,419733
2025-12-29T12:07:22.9209389+05:00,,0,0,0,13,15,600,4,422214
2025-12-29T12:07:32.9857420+05:00,,0,0,0,13,15,615,4,424711
2025-12-29T12:07:43.0597083+05:00,,0,0,0,13,12,627,4,426705
2025-12-29T12:07:53.1463287+05:00,,0,0,0,13,0,627,4,426705
2025-12-29T12:08:03.2272638+05:00,,0,0,0,13,0,627,4,426705
2025-12-29T12:08:13.3057979+05:00,,0,0,0,13,15,642,4,429190
2025-12-29T12:08:23.3916506+05:00,,0,0,0,13,15,657,4,431686
2025-12-29T12:08:33.4793594+05:00,,0,0,0,13,15,672,4,434175
2025-12-29T12:08:43.5540098+05:00,,0,0,0,13,15,687,4,436672
2025-12-29T12:08:53.6424581+05:00,,0,0,0,13,12,699,4,438663
2025-12-29T12:09:03.7175295+05:00,,0,0,0,13,15,714,4,441165
2025-12-29T12:09:13.8002146+05:00,,0,0,0,13,15,729,4,443650
2025-12-29T12:09:23.8843274+05:00,,0,0,0,13,15,744,4,446141
2025-12-29T12:09:33.9618012+05:00,,0,0,0,13,15,759,4,448637
2025-12-29T12:09:44.0359761+05:00,,0,0,0,13,15,774,4,451127
2025-12-29T12:09:54.1376774+05:00,,0,0,0,13,12,786,4,453121
2025-12-29T12:10:04.2235793+05:00,,0,0,0,13,15,801,4,455610
2025-12-29T12:10:14.3167917+05:00,,0,0,0,13,15,816,4,458098
2025-12-29T12:10:24.4022959+05:00,,0,0,0,13,15,831,4,460581
2025-12-29T12:10:34.4785450+05:00,,0,0,0,13,15,846,4,463072
2025-12-29T12:10:44.5759696+05:00,,0,0,0,13,12,858,4,465066
2025-12-29T12:10:54.6596008+05:00,,0,0,0,13,15,873,4,467557
2025-12-29T12:11:04.7497078+05:00,,0,0,0,13,15,888,4,470042
2025-12-29T12:11:14.9499458+05:00,,0,0,0,13,15,903,4,472531
2025-12-29T12:11:25.0466639+05:00,,0,0,0,13,15,918,4,475020
2025-12-29T12:11:35.1446320+05:00,,0,0,0,13,9,927,4,476513
2025-12-29T12:11:45.2435666+05:00,,0,0,0,13,0,927,4,476513
2025-12-29T12:11:55.3266963+05:00,,0,0,0,13,6,933,4,477510
2025-12-29T12:12:05.4130061+05:00,,0,0,0,13,15,948,4,480001
2025-12-29T12:12:15.5096289+05:00,,0,0,0,13,12,960,4,481994
2025-12-29T12:12:25.6113214+05:00,,0,0,0,13,15,975,4,484489
2025-12-29T12:12:35.7279072+05:00,,0,0,0,13,15,990,4,486976
2025-12-29T12:12:45.8352933+05:00,,0,0,0,13,15,1005,4,489462
2025-12-29T12:12:55.9025718+05:00,,0,0,0,13,15,1020,4,491953
